El señor MONTESINOS TORRES.—	 Bueno, mira, pero te cuento los primeros mineros que vinieron, los primeros mineros que me los traje de Ayacucho para hacer el primer túnel, cuando llegaron ahí no sabían, pero cuando se dieron cuenta se asustaron. Oh, no, estamos con terroristas, si nos descubren nos matan. (6) Yo le dije: compadre, de aquí no me salen hasta que no termine el problema, o me hacen el túnel (ininteligible) y encima de eso les voy a pagar bien, 300 dólares diario le pagamos a cada uno de los mineros. Teníamos tres turnos de ocho horas, o sea ocho horas trabajaban, ocho horas dormían y ocho horas descansaban, tenían televisión....
La señora VALCÁRCEL, Gisela.—	 Los trataron bien.
El señor MONTESINOS TORRES.—	 Teníamos cantidad de gente ahí afuera que querían entrar y hacían mucho disturbio. Teníamos que hacer análisis de suelo, porque ese suelo de esa zona (ininteligible) porque tu empiezas a cavar y de repente te desmoronas y con los ingenieros sacamos muestra de tierra y cómo se ha sacado más de 10 toneladas de tierra, nadie se ha dado cuenta. Mira, para hacer los túneles, sacar la tierra.
La señora VALCÁRCEL, Gisela.—	 Como llegar a sacar la tierra  sin que se den cuenta.
El señor MONTESINOS TORRES.—	 Te das cuenta y encima de eso la tierra la traían en patrullero.
El señor CROUSILLAT CARREÑO.—	 ¿En el mismo patrullero?
El señor MONTESINOS TORRES.—	 En la maletera del patrullero y hacíamos turnos, cada hora salía un carro. Imagínate, alquilamos todas las casas de alrededor y estos tipos se pasaron la voz, cada mes nos cobraban 15 mil dólares por alquiler de la casa. Hicieron el negocio del siglo y había una señora aIemana que no quería alquilar la casa y no quería moverse y tuve que ir a hablar con el embajador de Alemania para que por favor le pidiera que nos alquilara la casa, y hablaron entre paisanos. Yo no quiero plata, no quiero nada, dijo.
La señora VALCÁRCEL, Gisela.—	 Recibe una llamada en su celular. Cuando ha sido la reunión, estaban avanzando ustedes. Ya estupendo, ya van a almorzar ustedes, ya compraste, no querido, participa y participo yo (ininteligible)
El señor MONTESINOS TORRES.—	 Sí, claro, lógico, no es para menos, ha dado una noticia tan buena. No, no, hay que dejarlo que se sienta bien.
La señora VALCÁRCEL, Gisela.—	 Nunca me he (ininteligible)
El señor MONTESINOS TORRES.—	 Y sobre todo la celeridad con que se ha actuado,  la oportunidad es igual que la información que no es oportuna.
La señora VALCÁRCEL, Gisela.—	 Un abogado lo tendría que acabar, la celeridad es en el caso y en mi caso se está dando.
El señor MONTESINOS TORRES.—	 En tu caso y en el  (ininteligible)
La señora VALCÁRCEL, Gisela.—	 Esto es público, estamos hablando de una celeridad judicial.
El señor MONTESINOS TORRES.—	 Este es un Poder Judicial que atiende prontamente el reclamo de la persona, porque muchos dicen que el Poder Judicial no sirve, que no atiende los reclamos, que está corrompido, rápidamente atiende un reclamo.
La señora VALCÁRCEL, Gisela.—	 (ininteligible)
El señor CROUSILLAT CARREÑO.—	 Claro, lo menos. El domingo vas a hacer un programa.
La señora VALCÁRCEL, Gisela.—	 Panorama me llamó (ininteligible) iban a hacer una nota excelente.
El señor CROUSILLAT CARREÑO.—	 Un abogado y (ininteligible) Contrapunto voy a mirar, ahí salen todos.
La señora VALCÁRCEL, Gisela.—	 Voy a ir a Contrapunto, les he dado una nota ahora.
El señor MONTESINOS TORRES.—	 Claro, de hecho vas a estar en el otro programa.
La señora VALCÁRCEL, Gisela.—	 No, ayer al término del programa (ininteligible) yo terminé, estaba el programa en directo (ininteligible)
El señor MONTESINOS TORRES.—	 Este es un tema muy bajo, vaya nomás, el papelito se lo entrega.
La señora VALCÁRCEL, Gisela.—	 Y además está con una celeridad importante.
El señor MONTESINOS TORRES.—	 Tengo la mejor voluntad para ti. El tema del Ecuador, tú sabes que los ecuatorianos cuando compraron ellos los castillos en tres minutos los castillos estaban en Lima, de ahí (ininteligible) y en tres minutos llegaban a Lima, tres minutos, tenían autonomía para salir, venir o cambiar acá con la (ininteligible) Piura, Talara, Chiclayo, 3 minutos y 7 minutos. (7) Entonces, muy bien, yo tenía mi sistema de alerta que despegaban los aviones en 2 minutos yo tenía la información exacta del despegue de los aviones. Mi teléfono de noche lo tengo yo, Paula, Manta, Patuca, todas las bases le pongo un nombrecito y de frente esa misma noche al teléfono me están llamando y yo puedo estar dormido, pero tú ya sabes porque se prende la luz ya sabes que es Manta, entonces me dice el coronel, habla Cóndor, me dice, despegaron, aves en vuelo. Ya yo sé, significa que despegaron en vuelo, ¿qué hago en ese momento? Dos minutos, le indico la información y llamo al Cuerpo de Comando Conjunto hasta ahí serían 3. De ahí ellos tienen 2 minutos para alertar a las tripulaciones y al minuto ya estamos saliendo al aire en 7 minutos. Entonces, al noveno minuto están los aviones para darles el encuentro en línea de frontera y evitar que ingresen al territorio y si lograsen ingresar hay combate aéreo, los que no lograron ingresar, bueno, pasamos al otro lado. Eso era 13 minutos. Si yo me dormía, como esa noche, fue me quedé asustado lo que sea, la responsabilidad me tocaba encima, la responsabilidad que le pido hoy día que son tonterías, cada código me llama Cóndor está el Cóndor. No, te habla Águila, Águila llama a Cóndor, lógico, entonces ya venía con Águila para el Cóndor, los códigos, y hacíamos los ensayos nosotros. Yo soy en eso bien meticuloso, hacer el ensayo en un día, por ejemplo, un día sábado que nosotros estábamos a las 3 de la mañana y resulta que los pilotos de la Base de Talara habían sido visitante de uno de los muchachos, entonces se mandaron sus traguitos, usted sabe cómo son los chicos de 25, 26 años que tomaban su traguito con la enamorada. Vino la alarma y entonces se pasaron de vivo y dijeron ya sin novedad en vuelo ni destellos y me estaban dando cuenta que estaban en el aire y estaban ahí en plena jarana, entonces estaba haciendo el ensayo y no estaban 3, 4 aviones en el aire, increíble esa cuestión no dije nada, me fui hasta Talara. Llegué ahí, hice el ensayo y cuando lo vi bajar, un momentito los cuatro, están en fiesta ustedes, de qué fiesta, cómo si están en fiesta no podríamos hacer la fiesta acá. Así que de aquí 7 días todos los días a las 3 de la mañana ensayaron ya cambia el pueblo 7 días a las 3 de la mañana, entonces, ahh no, vieron que la cosa es brava.
La señora VALCÁRCEL, Gisela.—	 Fue bien temprano, empiezan el ... 7 de la mañana.
El señor MONTESINOS TORRES.—	 Claro y tiene que ser objetivo. Le cuento la otra vez, un día como a las 2 de la mañana me llama el Presidente y me dice, ¿qué estás haciendo? No le voy a decir estoy durmiendo, ¿no es cierto? estoy acá, le digo, véngase me dijo. Así que  pum agarré el carro.
La señora VALCÁRCEL, Gisela.—	 ¿Qué hora era?
El señor MONTESINOS TORRES.—	 Dos de la mañana y media porque él nunca sale, generalmente a las 4, bueno.
El señor CROUSILLAT CARREÑO.—	 (ininteligible) de 4 a 6.
El señor MONTESINOS TORRES.—	 Es de 4 a 6 nomás, primer día que hacía, estoy durmiendo, venga. Salí, cuando en eso voy entrar hacia la vía expresa y pack me para un patrullero porque no tenía placa mi carro, bueno, efectivamente está cumpliendo su tarea de chequear a un funcionario, así que paré. No tiene luna, me reconocía por su placa de ser carro oficial y no hay placa. El documento, bueno, lo felicito por cumplir su tarea y dije ahora yo le voy a hacer la pregunta. ¿Dónde está su cartilla de seguridad antiterrorista?, ¿qué cartilla? me dijo. La cartilla porque hemos repartido acá al patrullero una cartilla con los principales líderes que están en libertad de Sendero, una cartilla muy chiquitita para que reconozcan. Entonces, me dijo, ¿qué cartilla? La cartilla, a ver llámeme a tu jefe. Llamó a su jefe y estaba el teniente, el mayor.
El señor CROUSILLAT CARREÑO.—	 Despierto a las 2 y 30 de la mañana.
La señora VALCÁRCEL, Gisela.—	 Es muy temprano.
El señor MONTESINOS TORRES.—	 Este, oiga, dónde está la cartilla de seguridad, ¿qué cartilla de seguridad? Que venga el comandante, nada, total que eran 4 de la mañana y el Presidente me llamaba, entonces lo llamé al Presidente y le dije. Alberto, me voy a quedar a (ininteligible) bueno, ya quédese. Lo llamé al general que se me pasó como a las 5 de la mañana. General, ¿dónde está las cartillas? Doctor, las entregamos al comandante (ininteligible) y ha tenido vacaciones y el fulano los ha dejado en su escritorio. Habíamos mandado a hacer 20 mil cartillas y estaban ahí guardados. Mire, general, mañana a las 3 de la mañana paso revista a todos los patrulleros en la vía expresa de cartilla de seguridad y al día siguiente que era el día toditos los patrulleros...
El señor CROUSILLAT CARREÑO.—	 Es un déficit que no lo había (ininteligible).
El señor MONTESINOS TORRES.—	 Iba cerrar la vía expresa, 3 de la mañana pasar revista de cartillas, todos los patrulleros, del demonio, yo sí voy a pasar, quinto terrorista, quién es el quinto terrorista, entonces debe saber el quinto, el primero, el cuarto nombre, entonces estaba el tipo pensando. Ese día pasé revista de todo menos eso, a ver abrir el capote los carros, cómo están los aceites de los carros. Carros nuevos no tenían aceite, no tenían gasolina, dónde está el bidón diario de las 8, ustedes creen que los carros son caballos. No señores, mañana revista 3 de la mañana.
La señora VALCÁRCEL, Gisela.—	 Otra vez.
El señor MONTESINOS TORRES.—	 Ah sí, los 10 días lo tuve así, 2 de la mañana, 3 de la mañana.
El señor CROUSILLAT CARREÑO.—	 Es un relajo.
El señor MONTESINOS TORRES.—	 Bueno, pero ya empiezas a hacer las cosas, por ejemplo, no sé si te conté una anécdota. Me voy a las 2 de la mañana a Villa El Salvador, recordando el año 92 por ahí nomás con todo el problema del terrorismo, le ponían cercos a las comisarías por el miedo, estamos todos ya a la defensiva.
El señor CROUSILLAT CARREÑO.—	 Claro, pues.
El señor MONTESINOS TORRES.—	 El centinela de la policía en el cerco ahí durmiendo y el fusil encima. Calladito vine me guardé el fusil lo filmé le tomé la foto me guardé el fusil y me vine. Dos meses no dije nada, entonces dije lo voy a investigar que traigan los cuadernos y libros de cargos de documentos de la Comisaría de Villa El Salvador. Armamento sin novedad, personal sin novedad. Yo dije, lo llamé a Vidal, dónde está tu... Vidal, vamos a pasar revista a la comisaría. Vamos, pues. Tú vas de noche a eso de las 7 de la noche, vamos a las 12 de la noche a ver que todos los armamentos (ininteligible) vamos a pasar con libros, de repente dan cuenta falta un fusil, ¿por qué falta un fusil?, ¿de quién? Entonces, el dueño del fusil o el que tenía esa noche, yo he dejado mi fusil acá, pero anoche alguien se lo ha llevado, no lo he encontrado, ¿dónde está mi fusil? A ver el libro, todos los días sin novedad, sin novedad, sin novedad. Ahh, me falta un fusil, de cuánto tiempo le falta un fusil. Anoche ha estado conmigo, doctor, anoche ha estado. Muy bien, vamos a ver una película, a ver todo el personal, ya. Relajo, vamos a ver una película y pam le paso la filmación de la película y entonces le digo al guardia ahí. Y a ti cuánto días mereces sanción, le dije, ¿qué deberíamos hacer contigo? Te dormistes, te robé el fusil, no distes cuenta, hace tres meses que no tienes fusil y me vienes a decir que anoche lo tenías tu fusil, (9) eres un cínico, qué  castigo darías tú, tú mismo ponte el castigo. Me voy al penal, me parece lo correcto, me parece correcta tu decisión, tu lo has decidido, así que anda vete y tú mismo abres la puerta y no hagas sentir...
La señora VALCÁRCEL, Gisela.—	 Ciérrate y quédate...
El señor MONTESINOS TORRES.—	 Después.., comandante y ahora que vamos a hacer con usted; mi casa; lógico, váyase su casa, usted mismo (ininteligible), es falta de control, es algo grave, ¿no?, tienes que tener a la gente así, sino
El señor CROUSILLAT CARREÑO.—	 Ahora están menos relajados.
El señor MONTESINOS TORRES.—	 No, ahora están menos relajados ¿no?, cuando me iba, por ejemplo, un día, siempre tomo diferentes rutas para no hacer la rutina, estaba yendo por donde está la residencia del embajador de Chile, en San Isidro, y había un patrullero, paro yo y estaba un guardia arrimado ahí al patrullero con el armamento dentro del carro, había uno solo, siempre están por parejas. Entonces, bajo la luna y le digo: oiga y ¿donde está la otra persona?, cual persona, me dice, ¿cómo cual persona?, ¿el conductor del vehículo o usted es el conductor?, no, no, yo no soy el conductor es el sargento, ¿dónde está el sargento?, ha tenido un problema y se ha ido, ¿y porqué tiene usted su fusil ahí?, le dije; bueno, es que está haciendo calor, dice; suba al carro, le subí al carro y entonces el otro chofer llevó el carro directo a Palacio, cuando regresé me vine para acá con el patrullero, le dije, ¿usted maneja?, no, no sé manejar ¿y porqué ha puesto el fusil acá?, bueno, doctor es que estaba cansado;  el tipo abandonó una embajada, el único que maneja es el chofer, tuvo sus problemas y se mandó a mudar, no le importa nadie y el que estaba ahí en lugar de estar atento, dejó el fusil en el carro y estaba ahí escuchando su walkman y esas cosas. Ya, así es que  venga urgente para acá y responde la falta de control el comandante, le dije; comandante, usted es ahora el conductor del patrullero, 7 días está usted ahí en la comisaria de San Isidro, usted es el conductor del patrullero las 24 horas de ahí y como este señor está cansado, así que acá le.., aquí, a ver.., al dormitorio, 7 días que duerma, claro, no se me levanta en 7 días, porque está cansado, estás cansado hermano y si estás cansado, 7 días descansa, sales solamente para el baño y para pasar los alimentos, pero duerme los 7 días, incluso que (ininteligible) que las 24 horas esté con los ojos cerrados...
El señor CROUSILLAT CARREÑO.—	 Eso recorre como algo mecánico a todos.
EL señor MONTESINOS TORRES.—	 Se pasan la voz, “ahí viene el doctor, pucha, como fastidia, ya saben cómo es esto, ahí, ahí.
La señora VALCÁRCEL, Gisela.—	 Ahora, (ininteligible) ese comentario recuerdo (ininteligible)
El señor CROUSILLAT CARREÑO.—	 Es que chocaban con los intereses de ellos.
El señor MONTESINOS TORRES.—	 Tú te puedes dar cuenta que aquí trabajamos en función de intereses nacionales, no trabajamos en función de intereses particulares, yo no saco nada de esto, al contrario saco odios, pasiones, intrigas, resentimientos, lo hago por una vocación de servicio a la nación, sacrificando mi vida, mi tiempo, mi familia, mis energías se me han ido 10 años de mi juventud, de mi vida acá encerrado, porque yo vivo acá 10 años sin salir, para qué, para devolver la tranquilidad al país en el tema del terrorismo, en el tema del narcotráfico, en el tema de la seguridad ciudadana y en el tema del Ecuador, 4 temas grandes objetivos, que me han quitado no el 100%, sino el 99% del tiempo, (ininteligible) persiguiendo terroristas, estar persiguiendo políticos, porque eso no tiene nada que ver con lo que hacemos, ese no es el objetivo, mira con el tema del Ecuador ya tienes suficiente para estar más que las 24 horas del día pensando (9) en el tema del terrorismo y el tema del narcotráfico, es decir, variables de energía; es decir, es como una baraja de responsabilidades y de obligaciones. Porque acá te llaman los comandantes generales, te llama (ininteligible) qué hay de esto, qué hay del otro. Tu no me das respuesta, nada de eso, y decimos, señor, inteligencia no los dijo y no es nuestro problema, nosotros no actuamos. Entonces, tienes tu que hacer frente a esa responsabilidad gráfica y eso no es actuar en función de intereses del Gobierno de turno. El Gobierno pasa (ininteligencia) estas misiones son al servicio de la nación, de los peruanos. Y acá imprimimos a esto una ética.
La señora VALCÁRCEL, Gisela.—	 (Ininteligible).
El señor MONTESINOS TORRES.—	 Así es. Yo cuando llegué acá el año 90 esta oficina estaba cerrada con llave y se quedaba una sola persona; sin embargo, en diez años hemos cambiado, prácticamente no existía esto.
La señora VALCÁRCEL, Gisela.—	 No existía.
El señor MONTESINOS TORRES.—	 Tu ponías (ininteligible) y se metía a la tecla de la máquina, así es el año 90, eso se manejaba así. Si tu te pones a pensar recién soy inteligencia  con Fujimori. Nunca antes se ha usado el manifiesto y eso es mi estilo, digamos, ese es el sello que le impreso acá y el país, ahora si se trata de eso a pesar con los males ese es otra cosa. Pero hay profesionalismo, hay una atención al servicio de los intereses nacionales, y ahora pensamos en el futuro. ¿Cuáles son los grandes retos en la nación? Los grandes retos de la nación, en el próximo milenio, qué problema va a tener el Estado peruano y cómo estas organizaciones estarán al servicio de los intereses de la nación. Entonces tu tienes que solicitar, tienes que pensar, hacer seminarios, un poco pensar en futurología, un poco que hacer prospectiva para que la gente diga, oiga, gobernante sabe qué, qué problemas voy a tener. Hay tres cosas, llevar los elementos, si ya está lista sin (ininteligible) pero tienes los elementos y eso qué significa, significa capacitación y el estudio, uno no se dedica a estar persiguiendo a personas, políticos, porque con eso no sacas nada. Además, los políticos todo lo ganan en la televisión. Para qué vas tu a preocuparte de saber quién firma. ¿Es así o no es así? Lo que pasa es que no hay la oportunidad de uno de poder salir a defenderse y poder explicar. ¿Por qué? Porque uno no es político, yo no soy político, no me gusta la política, sino estaría de ministro de equis. A mí me gusta, así como a ti te gusta tu programa de televisión, tu eres directora de un programa de televisión, etcétera, yo sé que ese es tu pasión, y lamentablemente como personas que trabajamos en Inteligencia nuestro reconocimiento es el reconocimiento del silencio. Es la satisfacción del silencio. Nosotros no buscamos que nuestros nombres estén en plazas, nosotros no buscamos (ininteligible) simplemente buscamos el reconocimiento de la institución. Nada más. No puede salir a decir, (ininteligible) sí, pasa esto pasa el otro. Tiene que quedarte callado, porque es así. El resto del trabajo y tu sabes que estás trabajando, el costo. Es como que (ininteligible) con la otra mejilla para que te tiren la otra cachetada.
La señora VALCÁRCEL, Gisela.—	 (Ininteligible) a seguir para adelante.
El señor MONTESINOS TORRES.—	 Sí. Ellos saben. Así como tu eres una persona, que nadie le baja la moral.
La señora VALCÁRCEL, Gisela.—	 No, ya estoy con (ininteligible).
El señor CROUSILLAT CARREÑO.—	 Y te van a pagar en Gisela, te quedas en su (ininteligible) y al día siguientes amaneces.
La señora VALCÁRCEL, Gisela.—	 Un ratito nada más.
El señor MONTESINOS TORRES.—	 Bueno, pero son para todos.
La señora VALCÁRCEL, Gisela.—	 (Ininteligible).
El señor MONTESINOS TORRES.—	 Todos tenemos problema de depresión y de problemas y nos sentimos (ininteligible) por las situaciones que tienes. Yo me veo acá que estoy en diez reuniones en simultáneo, se está tratando diez temas diferentes, sales de uno, a ver, y pasas a la otra.
La señora VALCÁRCEL, Gisela.—	 (Ininteligible).
El señor MONTESINOS TORRES.—	 Y después vas al otro y después vienes y decides acá, decides allá. Estoy metido y entonces.
La señora VALCÁRCEL, Gisela.—	 Eres como (ininteligible) pone en la revista (ininteligible) de los canales estarán saliendo (ininteligible) de salón, cambios. Me encanta porque empiezo a acelerarme, ya como vino, entonces eso es como un vicio, la cabeza te va a (ininteligible).
El señor MONTESINOS TORRES.—	 No, claro, acá la información tu sientes la necesidad de información. Es como el periodista que vive la noticia, nosotros vivimos de informaciones. Yo necesito de información. ¿Por qué? Porque sé que tengo que cumplir con la información dando un procesamiento y poner mi conocimiento suave, o sea, suave te reclaman, te exiges como el hijo que decía padre mi alimento. Ahí está como responsable sé que necesitamos de información. Tu tienes que producir información. Yo me acuerdo, para terminar, de una anécdota, que Henry Kissinger, el famoso Secretario de Estado del Presidente Nixon, fue llamado por Nixon a la Casa Blanca y él era un profesor de derecho internacional en la Universidad de Harvard, historia del derecho internacional. Tenía gran prestigio, era un académico, había escrito como diez libros y de gran imagen, de gran nivel. Lo llama el Presidente Nixon a la Casa Blanca y le dicen véngase con su hija. Vino con su hija. Lo recibió Nixon con su esposa, la señora (ininteligible) Nixon. Es su hija y dijo, bueno, le dijo a su esposa: lleva a las chicas, vayan a tomar el té. Entonces comenzaron a conversar por los jardines de la Casa Blanca y Nixon se puso a (ininteligible) Kissinger, le dice, bueno, profesor lo hemos llamado para encomendarle una tarea. Con mucho gusto, señor Presidente, le dice. Quiero que sea usted Secretario de Estado, o sea, Ministro de Relaciones Exteriores. Entonces le dice, bueno, es una grata tarea y una grata sorpresa que usted me da, señor Presidente, pero cuál es el objetivo que usted busca. Bueno, sabe usted que nosotros estamos buscando el rompimiento de la situación de 'hielo' que tenemos con la China, con Moscú con todo (ininteligible) Usted tiene que hacer una diplomacia directa. Entonces le dice, Presidente, usted me pide esos objetivos y me nombra usted Secretario de Estado y con la burocracia del Departamento de Estado no voy ni a la esquina. (10) Entonces, yo quiero que usted me nombre Secretario de Estado, pero, a su vez, me nombre usted Presidente del Comité de los 40. Entonces, ¿qué cosa es el Comité de los 40? El Comité de los 40 es el que maneja toditas las acciones de inteligencia americana. Yo como Presidente del Comité de los 40 hago la diplomacia directa por el canal de inteligencia, porque la burocracia del Departamento de Estado me lleva al fracaso. Y efectivamente así fue, porque el Departamento de Estado le dice: oiga, vamos a hacer la negociación con China, vamos a evaluar. Y empiezan a evaluar, pase para tal oficina, pase a tal; no, que sí, que no conviene, que hay que hacer esto. Tú sabes cómo son los diplomáticos. Si nosotros nos hubiéramos confiado de Relaciones Exteriores, de Torre Tagle, nunca hubiéramos firmado la paz con el Ecuador, hasta ahorita estarían los tipos negociando. ¿Por qué? Porque ese (ininteligible) negociación por la (ininteligible).
El señor CROUSILLAT CARREÑO.—	 Puede estar años.
El señor MONTESINOS TORRES.—	 Puede estar años en las negociaciones, aparte han sido designados para eso, están programados para eso. Entonces, es diferente la diplomacia directa, donde te vas directamente a la cabeza. Eso es lo que ha hecho Henry Kissinger. Y aquí una anécdota final. Oriana Falaci, la famosa cronista. ¿La conoces?
La señora VALCÁRCEL, Gisela.—	 Sí.
El señor MONTESINOS TORRES.—	 Toda la vida le pidió una entrevista a Kissinger y Kissinger nunca quiso darle entrevistas, porque sabía que era una mujer muy audaz ... y además había tenido relaciones con un terrorista italiano que estaba en una prisión, era su pareja. Entonces, Kissinger dijo (ininteligible). Pero qué sucede. Que ella, como una persona de gran prestigio, además que había entrevistado a los principales líderes del mundo; entonces, Kissinger antes de ir a China necesitaba (ininteligible). Entonces, quería saber cómo era en la intimidad y en la privacidad, cómo se desenvolvía con un terrorista, con una persona así; o sea, cómo era la parte humana, porque él tenía un perfil de inteligencia para otra cosa, sale (ininteligible) conversamos. Y Oriana Falaci lo había interceptado. Entonces, Kissinger como es orgulloso, dice: yo no puedo decirle a ella que venga y me cuente. Entonces, hace los contactos para que alguna persona le diga: oye, pídele la entrevista al señor Kissinger. Y ella le dice: Pero, por qué voy a pedirle, además se va a negar. No, pídele. Bueno, pues (ininteligible) hace la solicitud, cuando de repente le aceptan la entrevista. No puede ser, qué raro (ininteligible) con el señor Kissinger. Se va contenta al Departamento de Estado. Llega, la reciben, pase adelante. Cuando a los 10 minutos tocan el timbre y la hacen pasar. Entonces, en un despacho así como éste (ininteligible) estaba Kissinger sentado cerca de la mesa con un montón de libros, todo pensativo (ininteligible) como media hora la tuvo parada. Entonces (ininteligible) como lo vio así, empezó a caminar por la habitación y toda la habitación estaba llena de libros alrededor de la (ininteligible) y empezó a sacar libro por libro. A la media hora, él le dijo: por favor, puede sentarse. Ella le dijo: un momentito, estoy ocupada. Y lo tuvo media hora esperando a él (ininteligible) durante media hora, le dijo: estoy leyendo sus libros, estoy leyendo sus libros, para conversar. Después de media hora, entonces le dijo: bueno, estamos a la par. Y se sentaron a conversar y entonces ahí él le dijo: bueno, hablemos sobre su experiencia. Y él le dijo sinceramente le voy a confesar la verdad, yo busqué la entrevista con usted, Kissinger le dice a ella muy honesto, yo busqué y (ininteligible) esperado media hora y lo que he visto es que usted es una persona que sabe (ininteligible) su condición de periodista mujer. Yo le hice esperar media hora porque quería ver cuál era su reacción. Y he visto que usted es una persona de carácter y de temperamento; entonces, la felicito y le cuento toda (ininteligible). Y, entonces, le dice: mire, va usted a compartir un secreto conmigo, voy a ir allá y usted ha entrevistado a tal persona y quiero saber cómo es. Entonces, ella le cuenta todo el detalle, le dice: mire, esto es lo que saqué de la entrevista, pero en off the record; tú sabes que en off the record hay otras cosas que no me dice (ininteligible) off the record. Entonces, ahí nació una amistad con Oriana Falaci y eso le permitió a Kissinger (ininteligible) conocía bien el tema y de ahí pasa a China, se entrevista con (ininteligible) y hace los contactos con Mao Tse Tung y ahí va Nixon en ese famoso viaje.
La señora VALCÁRCEL, Gisela.—	 (Ininteligible).
El señor MONTESINOS TORRES.—	 Claro, así se manejó el tema.
La señora VALCÁRCEL, Gisela.—	 Buena la historia, me encantó la historia.
El señor CROUSILLAT CARREÑO.—	 Es un genio.
El señor MONTESINOS TORRES.—	 (Ininteligible) uno de los mejores presidentes de Estados Unidos es Nixon.
El señor CROUSILLAT CARREÑO.—	 Kissinger es justamente la razón del (ininteligible).
El señor MONTESINOS TORRES.—	 Claro, hay un tipo recio, un tipo sumamente brillante.
El señor CROUSILLAT CARREÑO.—	 Era elemental para el Presidente.
El señor MONTESINOS TORRES.—	 Bueno, él es (ininteligible) de la administración. O sea, esa administración se mantuvo por el manejo de la política internacional. El problema que tuvo en Watergate sobre el asunto, fracasó, bueno, es una cuestión de circunstancias; pero el poderío americano y la caída de la Unión Soviética empieza con Nixon, por la diplomacia directa que él utiliza, y no con los diplomáticos del Departamento de Estado; o sea, a través del canal de la inteligencia.
La señora VALCÁRCEL, Gisela.—	 (Ininteligible).
El señor MONTESINOS TORRES.—	 Y es así como, por ejemplo, fíjate en el tema con el Ecuador, si nosotros estamos pensando que el canciller Ferrero va y habla con el canciller Ayala y el canciller Ayala le dice (ininteligible) jefe de inteligencia, venga para acá para reuniones, conversamos en directo, de ahí con su Presidente y ya.
El señor CROUSILLAT CARREÑO.—	 (Ininteligible) Tudela.
El señor MONTESINOS TORRES.—	 Ah, Tudela, la misma misa; o sea, la burocracia de Torre Tagle envuelve a los ministros, se chupan a los ministros. Y lo mismo le está pasando a Trazegnies, o sea, al principio entró con bríos y ahora no, ya está en el esquema de Torre Tagle. Es un monstruo devorador.
La señora VALCÁRCEL, Gisela.—	 (Ininteligible).
El señor MONTESINOS TORRES.—	 Te devora, los diplomáticos son devoradores; o sea, las formas y el sistema está hecho de tal forma que te atrapa. Es como la de la araña, te atrapa (ininteligible). Es exactamente lo que pasó con Tudela. Bueno, empecemos con Goldenberg, lo que pasó con Goldenberg, lo que pasó con Tudela, lo que pasó con Ferrero y pasa con Trazegnies.
El señor CROUSILLAT CARREÑO.—	 Y cuando ya, digamos, el Gobierno Central ve que no avanza la cosa, debe haber un cambio, ¿no?
El señor MONTESINOS TORRES.—	 Sí, claro.
El señor CROUSILLAT CARREÑO.—	 Porque sino se estanca.
El señor MONTESINOS TORRES.—	 Y felizmente ahora en el terreno tenemos la paz interna; (11) tenemos otro reto, el reto ahora es el tema de la economía, fundamental para la nación.
El señor CROUSILLAT CARREÑO.—	 Fundamental.
El señor MONTESINOS TORRES.—	 Fundamental para la nación. Entonces habiendo solucionado el asunto con Ecuador, y ahora tenemos claro el problema con Colombia, ¿no? o sea, ese es un motivo potencial que tenemos. Pero tomamos previsiones, no estamos a la improvisación, imagínate que se nos metieran los guerrilleros colombianos acá, que tienen más experiencia, va a ser muy difícil; entonces tomamos previsiones. Sin embargo, acá dicen: no, que están haciendo escándalo, meterse en asuntos de otro país. Pero peor es que nos acusen, de qué, de improvisación.
La señora VALCÁRCEL, Gisela.—	 De improvisación.
El señor MONTESINOS TORRES.—	 Yo lo he previsto, se ha tomado las previsiones; de algo nos pueden acusar, de lo que sea, pero menos de improvisación.
La señora VALCÁRCEL, Gisela.—	 El tema económico cuándo cree que.
El señor MONTESINOS TORRES.—	 Yo pienso que a partir del segundo semestre empieza el tema a levantar, a partir del segundo semestre la economía. Ayer hemos tenido, fíjate, la crisis asiática, la crisis brasileña, el fenómeno de El Niño.
La señora VALCÁRCEL, Gisela.—	 El fenómeno de El Niño.
El señor MONTESINOS TORRES.—	 El fenómeno de El Niño. Si no hubiéramos trabajado la economía como hemos tenido ahora, mira lo que está pasando con el Ecuador en este momento, el Ecuador está en una situación. Si no hubiera firmado Mahuad la paz con nosotros ya en estos momentos habría la guerra con Ecuador.
La señora VALCÁRCEL, Gisela.—	 Ya habría guerra.
El señor MONTESINOS TORRES.—	 No, ya la guerra se hubiera declarado.
El señor CROUSILLAT CARREÑO.—	 Por la desesperación.
El señor MONTESINOS TORRES.—	 No quedaba otra cosa. Mira la devaluación ahí está en cien por ciento, claro está al cien por ciento, acá tenemos unas devaluaciones más o menos regulares y esas cosas que varían. Tú sabes lo que es cien por ciento. (Ininteligible) mañana y lo comprabas con un Sucre ahora se te vende a medio Sucre. Lo que pasaba en Argentina en la época de Alfonsín, todos los días en el periódico salía.
El señor CROUSILLAT CARREÑO.—	 Lo que pasaba era terrible.
El señor MONTESINOS TORRES.—	 Bueno, te acuerdas. Así es.
El señor CROUSILLAT CARREÑO.—	 100 dólares era una maleta así de lleno.
El señor MONTESINOS TORRES.—	 Sí. Así era el asunto. Esas son las cosas.
